game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012020004,6,home,TRUE,REG,Claude Julien,3,34,27,30,7,0,60.3,1,6
2012020004,3,away,FALSE,REG,John Tortorella,1,21,34,24,5,0,39.7,10,1
2012020020,6,home,TRUE,SO,Claude Julien,1,27,48,8,2,0,55.2,9,7
2012020020,52,away,FALSE,SO,Claude Noel,1,27,32,4,4,0,44.8,8,7
2012020037,6,away,FALSE,OT,Claude Julien,3,29,20,17,5,1,67.9,7,2
2012020037,3,home,TRUE,OT,John Tortorella,4,33,28,17,5,0,32.1,4,2
2012020050,6,home,TRUE,REG,Claude Julien,4,27,35,23,3,0,61,8,9
2012020050,2,away,FALSE,REG,Jack Capuano,2,26,27,13,3,0,39,8,8
2012020073,6,away,TRUE,REG,Claude Julien,5,38,25,19,4,2,59.4,5,8
2012020073,12,home,FALSE,REG,Kirk Muller,3,32,20,15,6,0,40.6,10,8
2012020078,6,home,TRUE,SO,Claude Julien,1,28,33,15,3,0,61.7,10,6
2012020078,1,away,FALSE,SO,Peter DeBoer,1,26,23,11,5,1,38.3,6,8
2012020092,6,home,FALSE,REG,Claude Julien,4,42,17,13,4,0,57.1,13,10
2012020092,7,away,TRUE,REG,Lindy Ruff,7,32,20,13,3,1,42.9,3,3
2012020111,6,away,TRUE,REG,Claude Julien,1,34,29,18,2,0,54.7,11,6
2012020111,10,home,FALSE,REG,Randy Carlyle,0,21,44,16,3,0,45.3,12,9
2012020138,6,away,TRUE,REG,Claude Julien,2,23,26,14,4,0,59.4,14,4
2012020138,8,home,FALSE,REG,Michel Therrien,1,21,31,10,5,1,40.6,9,9
2012020154,6,home,TRUE,REG,Claude Julien,2,24,18,16,1,0,64.3,18,8
2012020154,14,away,FALSE,REG,Jon Cooper,0,30,20,12,3,0,35.7,14,7
2012020168,6,away,TRUE,REG,Claude Julien,3,39,15,21,5,1,47.6,11,4
2012020168,7,home,FALSE,REG,Lindy Ruff,1,26,25,15,3,0,52.4,11,12
2012020179,6,home,FALSE,SO,Claude Julien,3,40,32,8,4,0,57.8,12,6
2012020179,3,away,TRUE,SO,John Tortorella,3,29,31,8,4,0,42.2,7,6
2012020197,6,away,FALSE,REG,Claude Julien,2,32,14,6,2,1,58.5,10,6
2012020197,7,home,TRUE,REG,Lindy Ruff,4,26,23,4,3,0,41.5,14,13
2012020214,6,away,TRUE,REG,Claude Julien,3,26,21,4,1,1,46.2,5,6
2012020214,52,home,FALSE,REG,Claude Noel,2,24,25,2,2,0,53.8,16,4
2012020243,6,away,TRUE,REG,Claude Julien,4,26,22,6,0,0,54,8,7
2012020243,14,home,FALSE,REG,Guy Boucher,2,26,27,2,3,0,46,13,10
2012020262,6,away,TRUE,REG,Claude Julien,4,32,26,18,1,1,53.6,2,9
2012020262,13,home,FALSE,REG,Kevin Dineen,1,35,22,2,4,0,46.4,7,5
2012020278,6,away,TRUE,REG,Claude Julien,4,34,16,6,4,0,57.1,8,6
2012020278,2,home,FALSE,REG,Jack Capuano,1,37,21,8,3,0,42.9,8,14
2012020288,6,home,TRUE,OT,Claude Julien,2,46,30,10,3,0,64.9,10,8
2012020288,9,away,FALSE,OT,Paul MacLean,1,31,16,6,5,1,35.1,13,4
2012020303,6,home,TRUE,REG,Claude Julien,3,27,13,28,5,2,64.9,7,2
2012020303,14,away,FALSE,REG,Guy Boucher,2,22,20,22,8,2,35.1,4,2
2012020316,6,home,FALSE,REG,Claude Julien,3,34,30,32,2,0,62.7,13,9
2012020316,8,away,TRUE,REG,Michel Therrien,4,26,24,16,5,1,37.3,9,7
2012020326,6,away,FALSE,OT,Claude Julien,3,33,22,13,2,1,52.9,6,4
2012020326,15,home,TRUE,OT,Adam Oates,4,26,23,9,4,0,47.1,12,15
2012020339,6,home,TRUE,REG,Claude Julien,4,25,26,13,3,0,61.7,8,1
2012020339,10,away,FALSE,REG,Randy Carlyle,2,27,39,13,3,0,38.3,2,9
2012020355,6,home,TRUE,REG,Claude Julien,3,28,31,11,2,1,48.3,7,8
2012020355,4,away,FALSE,REG,Peter Laviolette,0,23,41,9,3,0,51.7,10,2
2012020375,6,away,TRUE,SO,Claude Julien,2,35,25,11,3,0,49.2,11,9
2012020375,9,home,FALSE,SO,Paul MacLean,2,32,38,23,2,0,50.8,10,9
2012020380,6,away,FALSE,REG,Claude Julien,2,16,20,8,2,1,54.1,5,7
2012020380,5,home,TRUE,REG,Dan Bylsma,3,34,27,4,4,0,45.9,2,4
2012020391,6,home,TRUE,REG,Claude Julien,4,32,30,4,2,0,67.3,9,4
2012020391,13,away,FALSE,REG,Kevin Dineen,1,30,25,4,2,0,32.7,10,5
2012020405,6,home,TRUE,REG,Claude Julien,4,38,36,23,1,1,61.5,3,5
2012020405,15,away,FALSE,REG,Adam Oates,1,33,27,19,3,0,38.5,7,1
2012020418,6,away,FALSE,REG,Claude Julien,1,32,26,2,2,0,53.1,1,1
2012020418,5,home,TRUE,REG,Dan Bylsma,2,18,30,4,1,0,46.9,3,8
2012020435,6,away,FALSE,REG,Claude Julien,1,28,17,4,4,0,52.9,7,5
2012020435,52,home,TRUE,REG,Claude Noel,3,25,33,8,2,1,47.1,15,9
2012020447,6,away,TRUE,REG,Claude Julien,2,29,33,2,2,0,55.7,6,5
2012020447,9,home,FALSE,REG,Paul MacLean,1,28,34,6,0,0,44.3,7,6
2012020459,6,away,FALSE,REG,Claude Julien,2,33,31,9,1,0,54.5,8,3
2012020459,10,home,TRUE,REG,Randy Carlyle,3,13,38,7,2,0,45.5,16,3
2012020472,6,home,TRUE,SO,Claude Julien,2,29,25,8,1,0,62.9,8,4
2012020472,10,away,FALSE,SO,Randy Carlyle,2,25,22,4,3,1,37.1,8,5
2012020488,6,home,FALSE,SO,Claude Julien,5,41,33,19,4,1,62.9,6,9
2012020488,8,away,TRUE,SO,Michel Therrien,5,28,21,15,6,1,37.1,6,6
