game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz
2012020004,20122013,R,1/20/13,3,6,1,3,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020020,20122013,R,1/21/13,52,6,1,2,home win SO,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020037,20122013,R,1/24/13,6,3,3,4,home win OT,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020050,20122013,R,1/26/13,2,6,2,4,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020073,20122013,R,1/29/13,6,12,5,3,away win REG,right,PNC Arena,/api/v1/venues/null,America/New_York,-4,EDT
2012020078,20122013,R,1/30/13,1,6,1,2,home win SO,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020092,20122013,R,2/1/13,7,6,7,4,away win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020111,20122013,R,2/3/13,6,10,1,0,away win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT
2012020138,20122013,R,2/7/13,6,8,2,1,away win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT
2012020154,20122013,R,4/25/13,14,6,0,2,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020168,20122013,R,2/11/13,6,7,3,1,away win REG,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020179,20122013,R,2/13/13,3,6,4,3,away win SO,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020197,20122013,R,2/16/13,6,7,2,4,home win REG,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020214,20122013,R,2/17/13,6,52,3,2,away win REG,right,MTS Centre,/api/v1/venues/null,America/Winnipeg,-5,CDT
2012020243,20122013,R,2/22/13,6,14,4,2,away win REG,left,Tampa Bay Times Forum,/api/v1/venues/null,America/New_York,-4,EDT
2012020262,20122013,R,2/24/13,6,13,4,1,away win REG,right,BB&T Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020278,20122013,R,2/27/13,6,2,4,1,away win REG,left,Nassau Coliseum,/api/v1/venues/null,America/New_York,-4,EDT
2012020288,20122013,R,3/1/13,9,6,1,2,home win OT,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020303,20122013,R,3/2/13,14,6,2,3,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020316,20122013,R,3/4/13,8,6,4,3,away win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020326,20122013,R,3/6/13,6,15,3,4,home win OT,right,Verizon Center,/api/v1/venues/null,America/New_York,-4,EDT
2012020339,20122013,R,3/8/13,10,6,2,4,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020355,20122013,R,3/9/13,4,6,0,3,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT
2012020375,20122013,R,3/11/13,6,9,3,2,away win SO,left,Scotiabank Place,/api/v1/venues/null,America/New_York,-4,EDT
2012020380,20122013,R,3/12/13,6,5,2,3,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT
